noESCO,ESCOskill,noESCO_percentage,ESCOskill_percentage,cooccurrence_count
visual-studio-code,wordpress,0.22,0.12,2
visual-studio-code,debugging,0.22,0.1,1
visual-studio-code,d,0.22,0.01,1
visual-studio-code,format,0.22,0.03,2
visual-studio-code,search,0.22,0.02,4
visual-studio-code,fold,0.22,0.0,2
git-submodules,linux,0.02,0.58,1
git-submodules,windows,0.02,0.33,1
git-submodules,java,0.02,4.62,1
git-submodules,c#,0.02,3.64,3
git-submodules,git,0.02,0.68,9
git-submodules,haskell,0.02,0.14,1
git-submodules,eclipse,0.02,0.32,1
git-submodules,go,0.02,0.21,1
git-submodules,jenkins,0.02,0.11,1
git-submodules,merge,0.02,0.03,1
git-submodules,branch,0.02,0.01,1
git-submodules,repository,0.02,0.02,1
git-submodules,commit,0.02,0.01,2
svn,python,0.11,4.26,1
svn,arrays,0.11,0.5,1
svn,linux,0.11,0.58,3
svn,file,0.11,0.16,1
svn,windows,0.11,0.33,2
svn,java,0.11,4.62,3
svn,android,0.11,3.02,7
svn,php,0.11,3.05,6
svn,c#,0.11,3.64,9
svn,asp.net,0.11,0.39,1
svn,git,0.11,0.68,8
svn,eclipse,0.11,0.32,3
svn,go,0.11,0.21,1
svn,jenkins,0.11,0.11,1
svn,merge,0.11,0.03,3
svn,branch,0.11,0.01,3
svn,repository,0.11,0.02,4
svn,certificate,0.11,0.02,1
svn,backup,0.11,0.02,1
svn,hadoop,0.11,0.02,1
svn,directory,0.11,0.05,3
svn,repair,0.11,0.0,1
svn,diff,0.11,0.02,4
git-bash,linux,0.0,0.58,1
git-bash,windows,0.0,0.33,1
git-bash,java,0.0,4.62,2
git-bash,git,0.0,0.68,1
git-bash,eclipse,0.0,0.32,1
git-bash,go,0.0,0.21,1
git-bash,jenkins,0.0,0.11,1
git-bash,merge,0.0,0.03,1
git-bash,branch,0.0,0.01,1
git-bash,repository,0.0,0.02,1
clearcase-ucm,linux,0.0,0.58,1
clearcase-ucm,windows,0.0,0.33,1
clearcase-ucm,java,0.0,4.62,1
clearcase-ucm,git,0.0,0.68,1
clearcase-ucm,eclipse,0.0,0.32,1
clearcase-ucm,go,0.0,0.21,1
clearcase-ucm,jenkins,0.0,0.11,1
clearcase-ucm,merge,0.0,0.03,1
clearcase-ucm,branch,0.0,0.01,1
clearcase-ucm,repository,0.0,0.02,1
gitolite,linux,0.0,0.58,1
gitolite,windows,0.0,0.33,1
gitolite,java,0.0,4.62,1
gitolite,git,0.0,0.68,1
gitolite,eclipse,0.0,0.32,1
gitolite,go,0.0,0.21,1
gitolite,jenkins,0.0,0.11,1
gitolite,merge,0.0,0.03,1
gitolite,branch,0.0,0.01,1
gitolite,repository,0.0,0.02,1
git-branch,linux,0.01,0.58,1
git-branch,windows,0.01,0.33,1
git-branch,java,0.01,4.62,1
git-branch,git,0.01,0.68,3
git-branch,eclipse,0.01,0.32,1
git-branch,go,0.01,0.21,1
git-branch,jenkins,0.01,0.11,1
git-branch,merge,0.01,0.03,1
git-branch,branch,0.01,0.01,1
git-branch,repository,0.01,0.02,1
github-api,linux,0.01,0.58,1
github-api,windows,0.01,0.33,1
github-api,java,0.01,4.62,1
github-api,git,0.01,0.68,1
github-api,eclipse,0.01,0.32,1
github-api,go,0.01,0.21,1
github-api,jenkins,0.01,0.11,1
github-api,merge,0.01,0.03,1
github-api,branch,0.01,0.01,1
github-api,repository,0.01,0.02,1
github-api,ios,0.01,1.69,1
cleartool,linux,0.0,0.58,1
cleartool,windows,0.0,0.33,1
cleartool,java,0.0,4.62,1
cleartool,git,0.0,0.68,1
cleartool,eclipse,0.0,0.32,1
cleartool,go,0.0,0.21,1
cleartool,jenkins,0.0,0.11,1
cleartool,merge,0.0,0.03,1
cleartool,branch,0.0,0.01,1
cleartool,repository,0.0,0.02,1
github-actions,python,0.04,4.26,3
github-actions,c++,0.04,1.77,1
github-actions,linux,0.04,0.58,1
github-actions,windows,0.04,0.33,1
github-actions,java,0.04,4.62,1
github-actions,android,0.04,3.02,2
github-actions,c#,0.04,3.64,2
github-actions,rust,0.04,0.14,1
github-actions,mysql,0.04,0.79,2
github-actions,git,0.04,0.68,3
github-actions,haskell,0.04,0.14,2
github-actions,eclipse,0.04,0.32,1
github-actions,go,0.04,0.21,1
github-actions,jenkins,0.04,0.11,1
github-actions,merge,0.04,0.03,1
github-actions,branch,0.04,0.01,1
github-actions,repository,0.04,0.02,1
gitlab-ci,python,0.03,4.26,1
gitlab-ci,linux,0.03,0.58,1
gitlab-ci,windows,0.03,0.33,1
gitlab-ci,java,0.03,4.62,2
gitlab-ci,android,0.03,3.02,1
gitlab-ci,php,0.03,3.05,1
gitlab-ci,javascript,0.03,5.15,1
gitlab-ci,git,0.03,0.68,3
gitlab-ci,eclipse,0.03,0.32,1
gitlab-ci,go,0.03,0.21,1
gitlab-ci,jenkins,0.03,0.11,1
gitlab-ci,merge,0.03,0.03,3
gitlab-ci,branch,0.03,0.01,1
gitlab-ci,repository,0.03,0.02,1
gitlab-ci,pipeline,0.03,0.01,2
gitignore,python,0.01,4.26,1
gitignore,c++,0.01,1.77,1
gitignore,linux,0.01,0.58,1
gitignore,windows,0.01,0.33,1
gitignore,java,0.01,4.62,1
gitignore,git,0.01,0.68,4
gitignore,eclipse,0.01,0.32,1
gitignore,go,0.01,0.21,1
gitignore,jenkins,0.01,0.11,1
gitignore,merge,0.01,0.03,1
gitignore,branch,0.01,0.01,1
gitignore,repository,0.01,0.02,1
ggplot2,python,0.11,4.26,5
ggplot2,r,0.11,0.56,51
ggplot2,git,0.11,0.68,1
ggplot2,date,0.11,0.12,2
ggplot2,plot,0.11,0.04,1
ggplot2,geometry,0.11,0.02,1
flutter,python,0.27,4.26,3
flutter,c++,0.27,1.77,1
flutter,java,0.27,4.62,2
flutter,android,0.27,3.02,32
flutter,php,0.27,3.05,6
flutter,c#,0.27,3.64,4
flutter,javascript,0.27,5.15,7
flutter,typescript,0.27,0.59,2
flutter,rust,0.27,0.14,1
flutter,swift,0.27,0.83,3
flutter,angular,0.27,0.73,2
flutter,spring,0.27,0.64,1
flutter,ios,0.27,1.69,8
flutter,xcode,0.27,0.42,1
flutter,image,0.27,0.11,1
flutter,navigation,0.27,0.01,2
flutter,testing,0.27,0.09,4
flutter,installation,0.27,0.04,4
flutter,keyboard,0.27,0.03,2
flutter,mobile,0.27,0.02,1
flutter,bloc,0.27,0.0,1
dart,python,0.19,4.26,4
dart,c,0.19,0.65,3
dart,java,0.19,4.62,3
dart,android,0.19,3.02,4
dart,php,0.19,3.05,2
dart,c#,0.19,3.64,7
dart,javascript,0.19,5.15,6
dart,css,0.19,1.46,2
dart,angular,0.19,0.73,1
dart,ios,0.19,1.69,1
dart,navigation,0.19,0.01,2
dart,build,0.19,0.03,1
dart,release,0.19,0.01,1
dart,polymer,0.19,0.01,1
dart,state,0.19,0.01,3
dart,bloc,0.19,0.0,1
kerberos,java,0.0,4.62,1
kerberos,tomcat,0.0,0.03,1
kerberos,traffic,0.0,0.0,1
pyglet,python,0.0,4.26,1
dependency-injection,c++,0.04,1.77,1
dependency-injection,file,0.04,0.16,1
dependency-injection,android,0.04,3.02,7
dependency-injection,php,0.04,3.05,1
dependency-injection,c#,0.04,3.64,6
dependency-injection,javascript,0.04,5.15,1
dependency-injection,.net,0.04,0.86,1
dependency-injection,typescript,0.04,0.59,4
dependency-injection,asp.net,0.04,0.39,1
dependency-injection,angular,0.04,0.73,4
dependency-injection,linq,0.04,0.1,1
simple-injector,c#,0.0,3.64,1
simple-injector,.net,0.0,0.86,1
simple-injector,asp.net,0.0,0.39,1
simple-injector,linq,0.0,0.1,1
inversion-of-control,c#,0.0,3.64,2
inversion-of-control,.net,0.0,0.86,1
inversion-of-control,asp.net,0.0,0.39,1
inversion-of-control,linq,0.0,0.1,1
ioc-container,c#,0.0,3.64,1
ioc-container,.net,0.0,0.86,1
ioc-container,asp.net,0.0,0.39,1
ioc-container,linq,0.0,0.1,1
asp.net-mvc,java,0.29,4.62,2
asp.net-mvc,android,0.29,3.02,1
asp.net-mvc,c#,0.29,3.64,75
asp.net-mvc,javascript,0.29,5.15,10
asp.net-mvc,.net,0.29,0.86,12
asp.net-mvc,css,0.29,1.46,3
asp.net-mvc,asp.net,0.29,0.39,23
asp.net-mvc,linq,0.29,0.1,2
asp.net-mvc,import,0.29,0.02,1
asp.net-mvc,url,0.29,0.09,2
asp.net-mvc,controller,0.29,0.02,1
asp.net-mvc,parameters,0.29,0.04,2
asp.net-mvc,encryption,0.29,0.04,4
asp.net-mvc,layout,0.29,0.03,1
asp.net-mvc,routes,0.29,0.02,2
asp.net-mvc,roles,0.29,0.0,1
asp.net-mvc,config,0.29,0.01,2
asp.net-mvc,selection,0.29,0.02,3
unity-container,c#,0.0,3.64,1
unity-container,.net,0.0,0.86,1
unity-container,asp.net,0.0,0.39,1
unity-container,linq,0.0,0.1,1
autofac,c#,0.0,3.64,1
autofac,.net,0.0,0.86,1
autofac,asp.net,0.0,0.39,1
autofac,linq,0.0,0.1,1
ninject,c#,0.0,3.64,1
ninject,.net,0.0,0.86,1
ninject,asp.net,0.0,0.39,1
ninject,linq,0.0,0.1,1
entity-framework,python,0.14,4.26,1
entity-framework,java,0.14,4.62,1
entity-framework,c#,0.14,3.64,58
entity-framework,.net,0.14,0.86,12
entity-framework,asp.net,0.14,0.39,8
entity-framework,angular,0.14,0.73,1
entity-framework,linq,0.14,0.1,3
entity-framework,deployment,0.14,0.02,1
linq-to-sql,c#,0.0,3.64,2
linq-to-sql,.net,0.0,0.86,1
linq-to-sql,asp.net,0.0,0.39,1
linq-to-sql,linq,0.0,0.1,1
shiny,javascript,0.05,5.15,3
shiny,typescript,0.05,0.59,3
shiny,r,0.05,0.56,23
shiny,statistics,0.05,0.02,3
gradle,windows,0.18,0.33,2
gradle,java,0.18,4.62,19
gradle,android,0.18,3.02,41
gradle,php,0.18,3.05,2
gradle,javascript,0.18,5.15,2
gradle,css,0.18,1.46,1
gradle,scala,0.18,0.27,2
gradle,eclipse,0.18,0.32,1
gradle,go,0.18,0.21,1
gradle,jenkins,0.18,0.11,3
gradle,spring,0.18,0.64,2
gradle,maven,0.18,0.22,2
gradle,groovy,0.18,0.04,3
gradle,adb,0.18,0.01,1
gradle,dialog,0.18,0.02,3
gradle,release,0.18,0.01,2
gradle,locking,0.18,0.01,1
gradle,target,0.18,0.0,1
firebase,c++,0.16,1.77,2
firebase,java,0.16,4.62,7
firebase,android,0.16,3.02,21
firebase,php,0.16,3.05,5
firebase,c#,0.16,3.64,3
firebase,javascript,0.16,5.15,8
firebase,.net,0.16,0.86,3
firebase,git,0.16,0.68,1
firebase,swift,0.16,0.83,7
firebase,angular,0.16,0.73,1
firebase,ios,0.16,1.69,10
firebase,nosql,0.16,0.02,1
android-studio,python,0.26,4.26,1
android-studio,c++,0.26,1.77,6
android-studio,c,0.26,0.65,3
android-studio,java,0.26,4.62,17
android-studio,android,0.26,3.02,94
android-studio,php,0.26,3.05,1
android-studio,javascript,0.26,5.15,6
android-studio,ruby,0.26,0.42,1
android-studio,scala,0.26,0.27,1
android-studio,angular,0.26,0.73,1
android-studio,eclipse,0.26,0.32,2
android-studio,maven,0.26,0.22,2
android-studio,debugging,0.26,0.1,4
android-studio,service,0.26,0.03,1
android-studio,mobile,0.26,0.02,2
android-studio,audio,0.26,0.02,1
android-studio,deployment,0.26,0.02,2
android-gradle-plugin,java,0.04,4.62,4
android-gradle-plugin,android,0.04,3.02,13
android-gradle-plugin,php,0.04,3.05,1
android-gradle-plugin,javascript,0.04,5.15,1
android-gradle-plugin,build,0.04,0.03,1
model-view-controller,python,0.01,4.26,2
model-view-controller,php,0.01,3.05,1
model-view-controller,javascript,0.01,5.15,1
model-view-controller,mysql,0.01,0.79,1
model-view-controller,oop,0.01,0.09,1
odoo,python,0.02,4.26,7
odoo-10,python,0.0,4.26,1
odoo-8,python,0.0,4.26,1
ibm-cloud,sql,0.01,0.59,1
ibm-cloud,db2,0.01,0.0,1
ibm-watson,sql,0.0,0.59,1
ibm-watson,db2,0.0,0.0,1
watson-assistant,sql,0.0,0.59,1
watson-assistant,db2,0.0,0.0,1
watson-conversation,sql,0.0,0.59,1
watson-conversation,db2,0.0,0.0,1
dplyr,python,0.05,4.26,2
dplyr,r,0.05,0.56,24
dplyr,time,0.05,0.06,1
dplyr,na,0.05,0.0,1
dplyr,forecasting,0.05,0.01,3
anylogic,python,0.01,4.26,3
anylogic,java,0.01,4.62,1
anylogic,simulation,0.01,0.0,1
google-api,python,0.02,4.26,3
google-api,java,0.02,4.62,1
google-api,php,0.02,3.05,2
google-api,c#,0.02,3.64,1
google-api,javascript,0.02,5.15,5
google-api,.net,0.02,0.86,1
google-oauth,python,0.0,4.26,1
google-oauth,java,0.0,4.62,1
google-oauth,php,0.0,3.05,1
google-oauth,c#,0.0,3.64,1
google-oauth,javascript,0.0,5.15,1
google-oauth,.net,0.0,0.86,1
google-drive-api,python,0.01,4.26,1
google-drive-api,java,0.01,4.62,2
google-drive-api,php,0.01,3.05,4
google-drive-api,c#,0.01,3.64,1
google-drive-api,javascript,0.01,5.15,1
google-drive-api,.net,0.01,0.86,1
google-analytics,python,0.02,4.26,1
google-analytics,java,0.02,4.62,1
google-analytics,php,0.02,3.05,1
google-analytics,c#,0.02,3.64,1
google-analytics,javascript,0.02,5.15,1
google-analytics,.net,0.02,0.86,1
google-analytics,r,0.02,0.56,1
google-analytics,swift,0.02,0.83,5
google-analytics,security,0.02,0.06,1
google-analytics,ios,0.02,1.69,3
google-analytics-api,python,0.0,4.26,2
google-analytics-api,java,0.0,4.62,1
google-analytics-api,php,0.0,3.05,1
google-analytics-api,c#,0.0,3.64,1
google-analytics-api,javascript,0.0,5.15,1
google-analytics-api,.net,0.0,0.86,1
google-calendar-api,python,0.0,4.26,1
google-calendar-api,java,0.0,4.62,1
google-calendar-api,php,0.0,3.05,1
google-calendar-api,c#,0.0,3.64,1
google-calendar-api,javascript,0.0,5.15,1
google-calendar-api,.net,0.0,0.86,1
youtube-api,python,0.02,4.26,1
youtube-api,java,0.02,4.62,1
youtube-api,php,0.02,3.05,2
youtube-api,c#,0.02,3.64,1
youtube-api,javascript,0.02,5.15,1
youtube-api,.net,0.02,0.86,1
google-api-dotnet-client,python,0.0,4.26,1
google-api-dotnet-client,java,0.0,4.62,1
google-api-dotnet-client,php,0.0,3.05,1
google-api-dotnet-client,c#,0.0,3.64,1
google-api-dotnet-client,javascript,0.0,5.15,1
google-api-dotnet-client,.net,0.0,0.86,1
youtube-data-api,python,0.01,4.26,1
youtube-data-api,java,0.01,4.62,1
youtube-data-api,php,0.01,3.05,1
youtube-data-api,c#,0.01,3.64,1
youtube-data-api,javascript,0.01,5.15,1
youtube-data-api,.net,0.01,0.86,1
youtube-data-api,css,0.01,1.46,3
gmail-api,python,0.0,4.26,1
gmail-api,java,0.0,4.62,1
gmail-api,php,0.0,3.05,1
gmail-api,c#,0.0,3.64,1
gmail-api,javascript,0.0,5.15,1
gmail-api,.net,0.0,0.86,1
google-api-php-client,python,0.0,4.26,1
google-api-php-client,java,0.0,4.62,1
google-api-php-client,php,0.0,3.05,1
google-api-php-client,c#,0.0,3.64,1
google-api-php-client,javascript,0.0,5.15,1
google-api-php-client,.net,0.0,0.86,1
oauth,python,0.02,4.26,2
oauth,java,0.02,4.62,1
oauth,php,0.02,3.05,3
oauth,c#,0.02,3.64,1
oauth,javascript,0.02,5.15,3
oauth,.net,0.02,0.86,1
oauth,ruby,0.02,0.42,1
oauth,security,0.02,0.06,1
service-accounts,python,0.0,4.26,1
service-accounts,java,0.0,4.62,1
service-accounts,php,0.0,3.05,1
service-accounts,c#,0.0,3.64,1
service-accounts,javascript,0.0,5.15,1
service-accounts,.net,0.0,0.86,1
google-api-python-client,python,0.0,4.26,2
google-api-python-client,java,0.0,4.62,1
google-api-python-client,php,0.0,3.05,1
google-api-python-client,c#,0.0,3.64,1
google-api-python-client,javascript,0.0,5.15,1
google-api-python-client,.net,0.0,0.86,1
gmail,python,0.01,4.26,1
gmail,java,0.01,4.62,1
gmail,php,0.01,3.05,2
gmail,c#,0.01,3.64,1
gmail,javascript,0.01,5.15,2
gmail,.net,0.01,0.86,1
youtube,python,0.02,4.26,1
youtube,java,0.02,4.62,1
youtube,php,0.02,3.05,1
youtube,c#,0.02,3.64,1
youtube,javascript,0.02,5.15,2
youtube,.net,0.02,0.86,1
youtube,ruby,0.02,0.42,1
youtube,angular,0.02,0.73,1
youtube,video,0.02,0.05,1
youtube,embed,0.02,0.0,2
google-developers-console,python,0.0,4.26,1
google-developers-console,java,0.0,4.62,1
google-developers-console,php,0.0,3.05,1
google-developers-console,c#,0.0,3.64,1
google-developers-console,javascript,0.0,5.15,1
google-developers-console,.net,0.0,0.86,1
google-api-java-client,python,0.0,4.26,1
google-api-java-client,java,0.0,4.62,1
google-api-java-client,php,0.0,3.05,1
google-api-java-client,c#,0.0,3.64,1
google-api-java-client,javascript,0.0,5.15,1
google-api-java-client,.net,0.0,0.86,1
google-sheets-api,python,0.0,4.26,1
google-sheets-api,java,0.0,4.62,2
google-sheets-api,php,0.0,3.05,1
google-sheets-api,c#,0.0,3.64,1
google-sheets-api,javascript,0.0,5.15,1
google-sheets-api,.net,0.0,0.86,1
google-api-nodejs-client,python,0.01,4.26,1
google-api-nodejs-client,java,0.01,4.62,1
google-api-nodejs-client,php,0.01,3.05,1
google-api-nodejs-client,c#,0.01,3.64,1
google-api-nodejs-client,javascript,0.01,5.15,1
google-api-nodejs-client,.net,0.01,0.86,1
google-workspace,python,0.0,4.26,1
google-workspace,java,0.0,4.62,1
google-workspace,php,0.0,3.05,1
google-workspace,c#,0.0,3.64,1
google-workspace,javascript,0.0,5.15,1
google-workspace,.net,0.0,0.86,1
image-processing,python,0.06,4.26,6
image-processing,c++,0.06,1.77,6
image-processing,c,0.06,0.65,1
image-processing,java,0.06,4.62,1
image-processing,android,0.06,3.02,1
image-processing,c#,0.06,3.64,1
image-processing,javascript,0.06,5.15,1
image-processing,r,0.06,0.56,3
image-processing,algorithm,0.06,0.16,1
image-processing,graphics,0.06,0.02,1
image-processing,3d,0.06,0.02,1
image-processing,swift,0.06,0.83,2
image-processing,matlab,0.06,0.11,5
image-processing,plot,0.06,0.04,1
image-processing,go,0.06,0.21,1
image-processing,math,0.06,0.04,1
image-processing,geometry,0.06,0.02,1
image-processing,image,0.06,0.11,3
image-processing,ocr,0.06,0.01,2
spring-webflux,java,0.02,4.62,9
spring-webflux,spring,0.02,0.64,5
spring-mvc,java,0.08,4.62,24
spring-mvc,android,0.08,3.02,1
spring-mvc,orm,0.08,0.04,3
spring-mvc,eclipse,0.08,0.32,1
spring-mvc,spring,0.08,0.64,23
spring-mvc,ios,0.08,1.69,1
spring-mvc,rest,0.08,0.12,1
spring-mvc,sorting,0.08,0.06,1
spring-mvc,service,0.08,0.03,2
spring-mvc,logging,0.08,0.07,3
project-reactor,java,0.02,4.62,7
project-reactor,spring,0.02,0.64,1
prometheus,sql,0.01,0.59,1
grafana,sql,0.02,0.59,1
promql,sql,0.0,0.59,1
emacs,python,0.1,4.26,9
emacs,c++,0.1,1.77,2
emacs,c#,0.1,3.64,2
emacs,r,0.1,0.56,5
emacs,shell,0.1,0.18,5
emacs,git,0.1,0.68,3
emacs,terminal,0.1,0.05,1
emacs,warnings,0.1,0.02,3
emacs,configuration,0.1,0.05,2
emacs,debugging,0.1,0.1,1
emacs,editor,0.1,0.02,2
emacs,latex,0.1,0.05,6
sap-commerce-cloud,abap,0.0,0.02,1
rebus,c#,0.0,3.64,1
plsql,sql,0.03,0.59,12
plsql,date,0.03,0.12,1
plsql,database,0.03,0.15,1
plsql,oracle,0.03,0.06,3
plsql,triggers,0.03,0.01,1
oracle-apex,c#,0.01,3.64,2
oracle-apex,sql,0.01,0.59,1
oracle-apex,date,0.01,0.12,1
oracle-apex,database,0.01,0.15,1
oracle-apex,oracle,0.01,0.06,2
oracle-apex,triggers,0.01,0.01,1
oracle11g,sql,0.01,0.59,2
oracle11g,date,0.01,0.12,1
oracle11g,database,0.01,0.15,1
oracle11g,oracle,0.01,0.06,2
oracle11g,triggers,0.01,0.01,1
oracle-sqldeveloper,sql,0.01,0.59,1
oracle-sqldeveloper,date,0.01,0.12,1
oracle-sqldeveloper,database,0.01,0.15,1
oracle-sqldeveloper,oracle,0.01,0.06,1
oracle-sqldeveloper,triggers,0.01,0.01,1
stored-procedures,c#,0.01,3.64,2
stored-procedures,sql,0.01,0.59,3
stored-procedures,asp.net,0.01,0.39,1
stored-procedures,security,0.01,0.06,1
stored-procedures,date,0.01,0.12,1
stored-procedures,database,0.01,0.15,1
stored-procedures,oracle,0.01,0.06,2
stored-procedures,triggers,0.01,0.01,1
oracle10g,sql,0.0,0.59,1
oracle10g,date,0.0,0.12,1
oracle10g,database,0.0,0.15,1
oracle10g,oracle,0.0,0.06,1
oracle10g,triggers,0.0,0.01,1
oracle12c,sql,0.0,0.59,1
oracle12c,date,0.0,0.12,1
oracle12c,database,0.0,0.15,1
oracle12c,oracle,0.0,0.06,1
oracle12c,triggers,0.0,0.01,1
oracleforms,sql,0.0,0.59,1
oracleforms,date,0.0,0.12,1
oracleforms,database,0.0,0.15,1
oracleforms,oracle,0.0,0.06,1
oracleforms,triggers,0.0,0.01,1
sqlplus,java,0.01,4.62,1
sqlplus,sql,0.01,0.59,2
sqlplus,date,0.01,0.12,1
sqlplus,database,0.01,0.15,1
sqlplus,oracle,0.01,0.06,2
sqlplus,triggers,0.01,0.01,1
oracle-apex-5.1,sql,0.0,0.59,1
oracle-apex-5.1,date,0.0,0.12,1
oracle-apex-5.1,database,0.0,0.15,1
oracle-apex-5.1,oracle,0.0,0.06,1
oracle-apex-5.1,triggers,0.0,0.01,1
oracle-apex-5,sql,0.0,0.59,1
oracle-apex-5,date,0.0,0.12,1
oracle-apex-5,database,0.0,0.15,1
oracle-apex-5,oracle,0.0,0.06,1
oracle-apex-5,triggers,0.0,0.01,1
plsqldeveloper,sql,0.0,0.59,1
plsqldeveloper,date,0.0,0.12,1
plsqldeveloper,database,0.0,0.15,1
plsqldeveloper,oracle,0.0,0.06,1
plsqldeveloper,triggers,0.0,0.01,1
toad,sql,0.0,0.59,1
toad,date,0.0,0.12,1
toad,database,0.0,0.15,1
toad,oracle,0.0,0.06,1
toad,triggers,0.0,0.01,1
cucumber,windows,0.02,0.33,4
cucumber,ruby,0.02,0.42,1
cucumber,rspec,0.02,0.05,1
inno-setup,java,0.01,4.62,3
inno-setup,nsis,0.01,0.0,1
inno-setup,maven,0.01,0.22,3
ssl,python,0.07,4.26,4
ssl,c++,0.07,1.77,3
ssl,c,0.07,0.65,1
ssl,linux,0.07,0.58,1
ssl,sockets,0.07,0.06,1
ssl,java,0.07,4.62,6
ssl,android,0.07,3.02,3
ssl,php,0.07,3.05,7
ssl,c#,0.07,3.64,1
ssl,javascript,0.07,5.15,1
ssl,ruby,0.07,0.42,2
ssl,security,0.07,0.06,1
ssl,perl,0.07,0.07,1
ssl,go,0.07,0.21,1
ssl,networking,0.07,0.0,1
ssl,curl,0.07,0.06,4
ssl,certificate,0.07,0.02,2
ssl,proxy,0.07,0.02,1
ssl,ios,0.07,1.69,1
ssl,rest,0.07,0.12,3
ssl,apache,0.07,0.07,1
ssl,traffic,0.07,0.0,1
tcp,python,0.0,4.26,1
tcp,c++,0.0,1.77,1
tcp,c,0.0,0.65,1
tcp,linux,0.0,0.58,1
tcp,sockets,0.0,0.06,1
tcp,java,0.0,4.62,1
tcp,php,0.0,3.05,1
tcp,security,0.0,0.06,1
tcp,perl,0.0,0.07,1
tcp,go,0.0,0.21,1
tcp,networking,0.0,0.0,1
tcp,curl,0.0,0.06,1
tcp,certificate,0.0,0.02,1
tcp,proxy,0.0,0.02,1
https,python,0.01,4.26,3
https,c++,0.01,1.77,1
https,c,0.01,0.65,1
https,linux,0.01,0.58,1
https,sockets,0.01,0.06,1
https,java,0.01,4.62,1
https,php,0.01,3.05,1
https,security,0.01,0.06,1
https,perl,0.01,0.07,1
https,go,0.01,0.21,1
https,networking,0.01,0.0,1
https,curl,0.01,0.06,1
https,certificate,0.01,0.02,1
https,proxy,0.01,0.02,1
openssl,python,0.02,4.26,3
openssl,c++,0.02,1.77,1
openssl,c,0.02,0.65,1
openssl,linux,0.02,0.58,1
openssl,sockets,0.02,0.06,1
openssl,java,0.02,4.62,1
openssl,php,0.02,3.05,2
openssl,ruby,0.02,0.42,3
openssl,git,0.02,0.68,1
openssl,security,0.02,0.06,1
openssl,perl,0.02,0.07,1
openssl,go,0.02,0.21,1
openssl,networking,0.02,0.0,1
openssl,curl,0.02,0.06,1
openssl,certificate,0.02,0.02,2
openssl,proxy,0.02,0.02,1
openssl,terminal,0.02,0.05,1
openssl,encryption,0.02,0.04,1
http,python,0.09,4.26,1
http,c++,0.09,1.77,1
http,c,0.09,0.65,1
http,linux,0.09,0.58,1
http,sockets,0.09,0.06,1
http,java,0.09,4.62,4
http,android,0.09,3.02,1
http,php,0.09,3.05,4
http,c#,0.09,3.64,6
http,javascript,0.09,5.15,2
http,.net,0.09,0.86,2
http,typescript,0.09,0.59,2
http,ajax,0.09,0.1,1
http,swift,0.09,0.83,1
http,angular,0.09,0.73,1
http,security,0.09,0.06,3
http,perl,0.09,0.07,4
http,go,0.09,0.21,2
http,networking,0.09,0.0,1
http,curl,0.09,0.06,1
http,certificate,0.09,0.02,1
http,proxy,0.09,0.02,1
http,ios,0.09,1.69,1
http,rest,0.09,0.12,3
http,url,0.09,0.09,2
http,seo,0.09,0.01,3
http,crud,0.09,0.0,2
http,get,0.09,0.0,2
ssl-certificate,python,0.02,4.26,2
ssl-certificate,c++,0.02,1.77,1
ssl-certificate,c,0.02,0.65,1
ssl-certificate,linux,0.02,0.58,1
ssl-certificate,sockets,0.02,0.06,1
ssl-certificate,java,0.02,4.62,2
ssl-certificate,php,0.02,3.05,1
ssl-certificate,security,0.02,0.06,1
ssl-certificate,perl,0.02,0.07,1
ssl-certificate,go,0.02,0.21,1
ssl-certificate,networking,0.02,0.0,1
ssl-certificate,curl,0.02,0.06,4
ssl-certificate,certificate,0.02,0.02,2
ssl-certificate,proxy,0.02,0.02,1
ssl-certificate,testing,0.02,0.09,1
udp,python,0.0,4.26,1
udp,c++,0.0,1.77,1
udp,c,0.0,0.65,1
udp,linux,0.0,0.58,1
udp,sockets,0.0,0.06,1
udp,java,0.0,4.62,1
udp,php,0.0,3.05,1
udp,security,0.0,0.06,1
udp,perl,0.0,0.07,1
udp,go,0.0,0.21,1
udp,networking,0.0,0.0,1
udp,curl,0.0,0.06,1
udp,certificate,0.0,0.02,1
udp,proxy,0.0,0.02,1
ftp,python,0.02,4.26,1
ftp,c++,0.02,1.77,1
ftp,c,0.02,0.65,1
ftp,linux,0.02,0.58,1
ftp,sockets,0.02,0.06,1
ftp,java,0.02,4.62,7
ftp,php,0.02,3.05,1
ftp,security,0.02,0.06,1
ftp,perl,0.02,0.07,1
ftp,go,0.02,0.21,1
ftp,networking,0.02,0.0,1
ftp,curl,0.02,0.06,1
ftp,certificate,0.02,0.02,1
ftp,proxy,0.02,0.02,1
ftp,url,0.02,0.09,4
tls1.2,python,0.0,4.26,1
tls1.2,c++,0.0,1.77,1
tls1.2,c,0.0,0.65,1
tls1.2,linux,0.0,0.58,1
tls1.2,sockets,0.0,0.06,1
tls1.2,java,0.0,4.62,1
tls1.2,php,0.0,3.05,1
tls1.2,security,0.0,0.06,1
tls1.2,perl,0.0,0.07,1
tls1.2,go,0.0,0.21,1
tls1.2,networking,0.0,0.0,1
tls1.2,curl,0.0,0.06,1
tls1.2,certificate,0.0,0.02,1
tls1.2,proxy,0.0,0.02,1
